Site name,Latitude (degrees),Latitude (minutes),Latitude (cardinality),Longitude (degrees),Longitude (minutes),Longitude (cardinality),Altitude above sea level (m)
site_name,latitude_d,latitude_m,latitude_c,longitude_d,longitude_m,longitude_c,alt_masl
Alexander AWS (Tall Tower),79,1.38,S,170,41.94,E,53
Alfie's Elbow / Schroeder Hill,85,23.717,S,174,49.916,W,2803
ALYS,84,21.294,S,23,44.052,W,2070
Amundsen Glacier,86,28.2,S,160,0,W,1956
Ascent Glacier at Miller Range,83,12.97,S,156,19.27,E,1824
Austin AWS,75,59.701,S,87,28.185,W,1289
Backer Island,74,25.8246,S,102,28.674,W,0
Bear Peninsula,74,32.754,S,111,53.076,W,258
Bennett Nunatak,84,47.16,S,116,27.6,W,1675
Brockton Station SOPA,80,1,S,178,2,W,52
Byrd Coast Camp SOPA,76,55,S,144,0,W,742
Byrd Seismic,80,1.0242,S,119,28.4361,W,1541
Camp Gould SOPA,78,57,S,85,45,W,2049
Camp Minnesota SOPA,73,30,S,94,30,W,724
Camp Neptune SOPA,83,31,S,57,15,W,650
Camp Ohio SOPA,84,32,S,114,20,W,2096
Cape Christie Camp 1,72,17.1,S,169,58.43,E,0
Cape Christie Camp 2,72,17.93,S,169,56.56,E,567
Cape Selbourne,80,25.799,S,160,43.26,E,579
Cape Surprise,84,30.386,S,174,23.88,W,289
Cape Surprise Seismic,84,43.194,S,171,12.126,W,560
Casey Station – Ski Landing Area (YCAY),66,17.29,S,110,46.72,E,383
Casey Station – Wilkins Ice Runway (YWKS),66,41.37,S,111,29.26,E,702
Clark Mountains,77,20.406,S,141,52.428,W,1151
Clarkson Peak,83,19,S,164,34,E,2378
Colsac Bluff,84,16.857,S,162,16.708,E,2059
Concordia,75,6.12,S,123,23.72,E,3266
Cordiner Peak,82,51.69,S,53,11.946,W,999
Crary Ice Rise SOPA,83,0,S,172,39.5,W,124
Cumulus Hills,85,27,S,175,21,W,2152
Davis Station (YZD1),68,28.34,S,78,49.4,E,488
Deverall Island,81,28.602,S,161,58.626,E,174
Devils Glacier,86,17.4,S,165,18,W,1979
Dominion Range,85,20.56,S,164,45.38,E,2254
DR01,77,45.476,S,178,20.999,E,6
DR02,77,48.873,S,178,25.091,E,0
DR03,78,15.245,S,175,6.376,W,41
DR04,78,16.254,S,178,47.209,W,43
DR05,78,37.436,S,179,5.168,W,48
DR15,79,29.099,S,179,54.79,W,51
DR16,80,51.863,S,178,26.078,E,53
Edisto Inlet,72,23.89,S,169,55.69,E,0
Elaine AWS,83,5.637,S,174,17.129,E,57
Emilia AWS,78,25.92,S,173,10.86,E,50
ENIGMA (MZS) Landing Site,74,43.162,S,164,1.556,E,241
Erin AWS,84,54.18,S,128,51.2,W,969
Evans Knoll,74,51,S,100,24.24,W,117
Fallone Nunataks,85,18.384,S,143,37.092,W,353
Football Pass Camp at Tuke Glacier,72,31.234,S,169,37.341,E,60
Gill AWS,79,59.1,S,178,36.66,W,52
GRIPS Payload,83,6.18,S,40,54.08,W,1056
Haag Nunataks,77,2.28,S,78,17.226,W,931
Harry AWS,83,0.3,S,121,24.18,W,931
Howard Nunatak,77,31.68,S,86,46.038,W,1593
HWD1,80,42,S,174,0,E,53
HWD2,80,40.464,S,174,24.248,E,53
Iggy Ridge,83,18.432,S,156,14.988,E,1991
Inman Nunatak,74,49.254,S,98,52.83,W,482
Institute Ice Stream,82,37.51,S,79,33.37,W,1010
Janet AWS,77,10.44,S,123,23.52,W,2088
Jang Bogo Station (Korea),74,36.918,S,164,12.048,E,172
Kamb Skiway,82,46.266,S,156,34.458,W,77
Kathie AWS,77,59.73,S,97,32.7,W,1631
Koerwitz Glacier,85,33.77,S,154,57.51,W,637
Kohler Glacier,76,9.276,S,120,43.722,W,1894
Larkman Nunatak,85,41.48,S,177,41.64,E,2696
Lepley Nunatak,73,6.6672,S,90,17.97,W,50
Lettau,82,31.08,S,174,27.12,W,47
Lillie Range,84,48.62,S,171,0.64,W,663
Little Rockford SOPA,79,30,S,147,19,W,552
Lonewolf Nunatak,81,20.754,S,152,43.896,E,1600
Lower Thwaites Glacier,76,27.498,S,107,46.92,W,1045
MA01,76,56.436,S,97,33.578,W,1339
MA02,77,26.416,S,97,33.495,W,1527
MA03,77,56.416,S,97,33.514,W,1632
MA04,78,25.374,S,97,35.344,W,1721
MA05,78,56.402,S,97,33.519,W,1862
MA06,79,26.415,S,97,33.577,W,1941
